"산업분류별","성별","근속년수별",2020,2021,2022,2023,2024
"K.금융 및 보험업(64~66)","전체","10년이상",7689,7891,8205,8860,8862
"K.금융 및 보험업(64~66)","남","전근속",6970,7088,7537,8041,8105
"K.금융 및 보험업(64~66)","남","1년미만",3755,3835,4255,4518,4384
"K.금융 및 보험업(64~66)","남","1-3년미만",4874,5193,5743,6113,6057
"K.금융 및 보험업(64~66)","남","3-5년미만",5700,5797,6310,7076,7277
"K.금융 및 보험업(64~66)","남","5-10년미만",6423,6381,6839,7539,7856
"K.금융 및 보험업(64~66)","남","10년이상",8450,8640,9023,9687,9668
"K.금융 및 보험업(64~66)","여","전근속",5041,5307,5601,5997,6273
"K.금융 및 보험업(64~66)","여","1년미만",2579,2839,3078,3251,3190
"K.금융 및 보험업(64~66)","여","1-3년미만",3230,3673,3811,4105,4355
"K.금융 및 보험업(64~66)","여","3-5년미만",3992,4031,4141,4799,4988
"K.금융 및 보험업(64~66)","여","5-10년미만",4526,4601,4735,5208,5408
"K.금융 및 보험업(64~66)","여","10년이상",6662,6912,7231,7874,7984
"L.부동산업(68)","전체","전근속",2874,2886,3017,3209,3221
"L.부동산업(68)","전체","1년미만",2200,2274,2315,2528,2525
"L.부동산업(68)","전체","1-3년미만",2468,2392,2604,2647,2685
"L.부동산업(68)","전체","3-5년미만",2767,2714,2722,3044,3007
"L.부동산업(68)","전체","5-10년미만",2932,2989,3255,3573,3484
"L.부동산업(68)","전체","10년이상",5020,5182,5280,5510,5687
"L.부동산업(68)","남","전근속",3208,3233,3375,3563,3576
"L.부동산업(68)","남","1년미만",2447,2511,2565,2804,2756
"L.부동산업(68)","남","1-3년미만",2735,2644,2840,2886,2981
"L.부동산업(68)","남","3-5년미만",3030,2998,3025,3361,3348
"L.부동산업(68)","남","5-10년미만",3234,3313,3682,3967,3852
"L.부동산업(68)","남","10년이상",5362,5640,5706,5936,6076
"L.부동산업(68)","여","전근속",2176,2177,2280,2485,2521
"L.부동산업(68)","여","1년미만",1723,1801,1842,1980,2042
"L.부동산업(68)","여","1-3년미만",1974,1925,2128,2181,2162
"L.부동산업(68)","여","3-5년미만",2234,2197,2174,2472,2402
"L.부동산업(68)","여","5-10년미만",2310,2322,2428,2820,2820
"L.부동산업(68)","여","10년이상",3848,3708,3894,4210,4532
"M.전문, 과학 및 기술 서비스업(70~73)","전체","전근속",4933,4901,5193,5370,5625
"M.전문, 과학 및 기술 서비스업(70~73)","전체","1년미만",3051,3153,3379,3435,3593
"M.전문, 과학 및 기술 서비스업(70~73)","전체","1-3년미만",3666,3775,3957,4287,4440
"M.전문, 과학 및 기술 서비스업(70~73)","전체","3-5년미만",4240,4301,4562,4789,5062
"M.전문, 과학 및 기술 서비스업(70~73)","전체","5-10년미만",5154,5133,5283,5680,5872
"M.전문, 과학 및 기술 서비스업(70~73)","전체","10년이상",7128,6914,7346,7883,7995
"M.전문, 과학 및 기술 서비스업(70~73)","남","전근속",5496,5410,5752,5970,6262
"M.전문, 과학 및 기술 서비스업(70~73)","남","1년미만",3359,3474,3689,3812,4016
"M.전문, 과학 및 기술 서비스업(70~73)","남","1-3년미만",4069,4152,4359,4686,4848
"M.전문, 과학 및 기술 서비스업(70~73)","남","3-5년미만",4605,4608,4964,5177,5439
"M.전문, 과학 및 기술 서비스업(70~73)","남","5-10년미만",5548,5476,5677,6067,6336
"M.전문, 과학 및 기술 서비스업(70~73)","남","10년이상",7423,7254,7702,8261,8458
"M.전문, 과학 및 기술 서비스업(70~73)","여","전근속",3662,3793,4065,4217,4403
"M.전문, 과학 및 기술 서비스업(70~73)","여","1년미만",2633,2694,2958,2963,3070
"M.전문, 과학 및 기술 서비스업(70~73)","여","1-3년미만",3066,3212,3336,3738,3877
"M.전문, 과학 및 기술 서비스업(70~73)","여","3-5년미만",3519,3721,3941,4108,4350
"M.전문, 과학 및 기술 서비스업(70~73)","여","5-10년미만",4186,4283,4474,4785,4924
"M.전문, 과학 및 기술 서비스업(70~73)","여","10년이상",5653,5513,5988,6475,6333
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전체","전근속",3086,3203,3313,3471,3590
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전체","1년미만",2208,2319,2382,2520,2597
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전체","1-3년미만",2628,2691,2826,3058,3183
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전체","3-5년미만",2876,2834,3005,3267,3446
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전체","5-10년미만",3328,3225,3357,3528,3676
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전체","10년이상",4570,4691,4622,4842,4744
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","남","전근속",3601,3737,3851,4029,4110
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","남","1년미만",2541,2600,2660,2849,2937
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","남","1-3년미만",2989,3007,3189,3467,3605
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","남","3-5년미만",3257,3222,3386,3701,3884
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","남","5-10년미만",3797,3758,3916,4080,4153
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","남","10년이상",5251,5421,5337,5613,5490
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","여","전근속",2521,2616,2699,2834,3021
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","여","1년미만",1916,2054,2086,2208,2268
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","여","1-3년미만",2254,2339,2435,2607,2760
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","여","3-5년미만",2461,2453,2627,2754,2896
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","여","5-10년미만",2815,2718,2779,2937,3155
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","여","10년이상",3526,3554,3522,3739,3858
"P.교육 서비스업(85)","전체","전근속",3689,3725,3694,3737,3805
"P.교육 서비스업(85)","전체","1년미만",1918,2085,2142,2211,2318
"P.교육 서비스업(85)","전체","1-3년미만",2608,2460,2397,2665,2641
"P.교육 서비스업(85)","전체","3-5년미만",3180,3137,3060,3171,3242
"P.교육 서비스업(85)","전체","5-10년미만",3888,3810,3759,3914,4016
"P.교육 서비스업(85)","전체","10년이상",6285,6220,6199,6367,6379
"P.교육 서비스업(85)","남","전근속",4531,4569,4501,4547,4614
"P.교육 서비스업(85)","남","1년미만",1955,2200,2304,2428,2478
"P.교육 서비스업(85)","남","1-3년미만",3038,2841,2626,2998,3009
"P.교육 서비스업(85)","남","3-5년미만",3808,3756,3576,3608,3701
"P.교육 서비스업(85)","남","5-10년미만",4597,4473,4318,4417,4558
"P.교육 서비스업(85)","남","10년이상",6769,6742,6754,6970,6968
"P.교육 서비스업(85)","여","전근속",2959,2978,3008,3064,3145
"P.교육 서비스업(85)","여","1년미만",1895,2019,2059,2091,2233
"P.교육 서비스업(85)","여","1-3년미만",2363,2220,2255,2466,2432
"P.교육 서비스업(85)","여","3-5년미만",2690,2675,2676,2833,2899
"P.교육 서비스업(85)","여","5-10년미만",3273,3209,3228,3426,3472
"P.교육 서비스업(85)","여","10년이상",5427,5320,5316,5419,5490
"Q.보건업 및 사회복지 서비스업(86~87)","전체","전근속",2877,2868,3017,3139,3131
"Q.보건업 및 사회복지 서비스업(86~87)","전체","1년미만",2190,2188,2321,2355,2404
"Q.보건업 및 사회복지 서비스업(86~87)","전체","1-3년미만",2576,2532,2616,2819,2686
"Q.보건업 및 사회복지 서비스업(86~87)","전체","3-5년미만",2868,2734,2870,3062,3016
"Q.보건업 및 사회복지 서비스업(86~87)","전체","5-10년미만",3188,3193,3264,3540,3516
"Q.보건업 및 사회복지 서비스업(86~87)","전체","10년이상",4942,4839,5044,5246,5231
"Q.보건업 및 사회복지 서비스업(86~87)","남","전근속",4547,4586,4799,4910,5060
"Q.보건업 및 사회복지 서비스업(86~87)","남","1년미만",3640,3695,3891,3906,4043
"Q.보건업 및 사회복지 서비스업(86~87)","남","1-3년미만",4181,4183,4313,4479,4375
"Q.보건업 및 사회복지 서비스업(86~87)","남","3-5년미만",4563,4244,4604,4654,4823
"Q.보건업 및 사회복지 서비스업(86~87)","남","5-10년미만",4699,4876,4777,5326,5490
"Q.보건업 및 사회복지 서비스업(86~87)","남","10년이상",6077,6094,6466,6609,6808
"Q.보건업 및 사회복지 서비스업(86~87)","여","전근속",2507,2487,2621,2737,2730
"Q.보건업 및 사회복지 서비스업(86~87)","여","1년미만",1931,1906,2049,2075,2126
"Q.보건업 및 사회복지 서비스업(86~87)","여","1-3년미만",2275,2229,2288,2483,2390
"Q.보건업 및 사회복지 서비스업(86~87)","여","3-5년미만",2517,2438,2519,2701,2665
"Q.보건업 및 사회복지 서비스업(86~87)","여","5-10년미만",2773,2767,2876,3095,3059
"Q.보건업 및 사회복지 서비스업(86~87)","여","10년이상",4485,4320,4496,4720,4650
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전체","전근속",3007,3185,3325,3381,3525
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전체","1년미만",2136,2355,2202,2399,2441
